review_id,meal_id,review_text,sentiment,sentiment_score
R000031,M0007,Exceeded my expectations. This is exactly what comfort food should taste like.,POSITIVE,1
R000032,M0007,Amazing food! Delivered hot and fresh. Will definitely order again.,POSITIVE,1
R000033,M0007,Good food overall but delivery took longer than expected.,NEGATIVE,-1
R000034,M0007,"Pretty good, I've had better but wouldn't say no to ordering again.",NEGATIVE,-1
R000035,M0007,"Pretty good, I've had better but wouldn't say no to ordering again.",NEGATIVE,-1
R000036,M0008,Portion was too small for the price. Won't order again.,NEGATIVE,-1
R000037,M0008,The Crispy Chicken Burger was cold on arrival. Very frustrating.,NEGATIVE,-1
R000038,M0008,Absolutely delicious. Generous portions and great value for money.,POSITIVE,1
R000039,M0008,Best Crispy Chicken Burger I've ever had. The flavor was incredible!,POSITIVE,1
R000040,M0008,The taste was bland and the delivery was late.,NEGATIVE,-1
R000041,M0009,Amazing food! Delivered hot and fresh. Will definitely order again.,POSITIVE,1
R000042,M0009,Absolutely delicious. Generous portions and great value for money.,POSITIVE,1
R000043,M0009,Portion was too small for the price. Won't order again.,NEGATIVE,-1
R000044,M0009,Fresh ingredients and perfectly cooked. Highly recommended!,POSITIVE,1
R000045,M0009,Loved every bite. The packaging was also excellent.,POSITIVE,1
R000046,M0010,Fantastic taste and quick delivery. Family loved it!,POSITIVE,1
R000047,M0010,The Crispy Chicken Burger was okay. Expected a bit more flavor.,POSITIVE,1
R000048,M0010,The Crispy Chicken Burger was okay. Expected a bit more flavor.,POSITIVE,1
R000049,M0010,Fresh ingredients and perfectly cooked. Highly recommended!,POSITIVE,1
R000050,M0010,Average portion size for the price. Food was warm but not hot.,NEGATIVE,-1
R000051,M0011,Fresh ingredients and perfectly cooked. Highly recommended!,POSITIVE,1
R000052,M0011,"Decent taste, nothing extraordinary but satisfying.",POSITIVE,1
R000053,M0011,Perfect seasoning and amazing presentation. Worth every penny.,POSITIVE,1
R000054,M0011,Packaging was damaged and food quality was below average.,NEGATIVE,-1
R000055,M0011,Perfect seasoning and amazing presentation. Worth every penny.,POSITIVE,1
R000056,M0012,Best Crispy Chicken Burger I've ever had. The flavor was incredible!,POSITIVE,1
R000057,M0012,Amazing food! Delivered hot and fresh. Will definitely order again.,POSITIVE,1
R000058,M0012,Fresh ingredients and perfectly cooked. Highly recommended!,POSITIVE,1
R000059,M0012,Amazing food! Delivered hot and fresh. Will definitely order again.,POSITIVE,1
R000060,M0012,The quality is consistently great. My go-to order every week.,POSITIVE,1
R000061,M0013,The Crispy Chicken Burger was cold on arrival. Very frustrating.,NEGATIVE,-1
R000062,M0013,Loved every bite. The packaging was also excellent.,POSITIVE,1
R000063,M0013,The Crispy Chicken Burger was okay. Expected a bit more flavor.,POSITIVE,1
R000064,M0013,Amazing food! Delivered hot and fresh. Will definitely order again.,POSITIVE,1
R000065,M0013,Loved every bite. The packaging was also excellent.,POSITIVE,1
R000066,M0014,The quality is consistently great. My go-to order every week.,POSITIVE,1
R000067,M0014,Best Crispy Chicken Burger I've ever had. The flavor was incredible!,POSITIVE,1
R000068,M0014,The Crispy Chicken Burger was okay. Expected a bit more flavor.,POSITIVE,1
R000069,M0014,Fresh ingredients and perfectly cooked. Highly recommended!,POSITIVE,1
R000070,M0014,The Crispy Chicken Burger was cold on arrival. Very frustrating.,NEGATIVE,-1
R000071,M0015,Average portion size for the price. Food was warm but not hot.,NEGATIVE,-1
R000072,M0015,Exceeded my expectations. This is exactly what comfort food should taste like.,POSITIVE,1
R000073,M0015,Perfect seasoning and amazing presentation. Worth every penny.,POSITIVE,1
R000074,M0015,Average portion size for the price. Food was warm but not hot.,NEGATIVE,-1
R000075,M0015,Portion was too small for the price. Won't order again.,NEGATIVE,-1
R000076,M0016,Fresh ingredients and perfectly cooked. Highly recommended!,POSITIVE,1
R000077,M0016,The Bbq Bacon Burger was cold on arrival. Very frustrating.,NEGATIVE,-1
R000078,M0016,Fresh ingredients and perfectly cooked. Highly recommended!,POSITIVE,1
R000079,M0016,Fantastic taste and quick delivery. Family loved it!,POSITIVE,1
R000080,M0016,Perfect seasoning and amazing presentation. Worth every penny.,POSITIVE,1
R000081,M0017,Super fast delivery and the food was outstanding. 5 stars!,POSITIVE,1
R000082,M0017,The Bbq Bacon Burger was okay. Expected a bit more flavor.,POSITIVE,1
R000083,M0017,Good food overall but delivery took longer than expected.,NEGATIVE,-1
R000084,M0017,Best Bbq Bacon Burger I've ever had. The flavor was incredible!,POSITIVE,1
R000085,M0017,Loved every bite. The packaging was also excellent.,POSITIVE,1
R000086,M0018,Portion was too small for the price. Won't order again.,NEGATIVE,-1
R000087,M0018,Super fast delivery and the food was outstanding. 5 stars!,POSITIVE,1
R000088,M0018,Missing items from my order. Customer service was unhelpful.,NEGATIVE,-1
R000089,M0018,Best Bbq Bacon Burger I've ever had. The flavor was incredible!,POSITIVE,1
R000090,M0018,Portion was too small for the price. Won't order again.,NEGATIVE,-1
R000091,M0019,Good food overall but delivery took longer than expected.,NEGATIVE,-1
R000092,M0019,The Bbq Bacon Burger was cold on arrival. Very frustrating.,NEGATIVE,-1
R000093,M0019,"Decent taste, nothing extraordinary but satisfying.",POSITIVE,1
R000094,M0019,Perfect seasoning and amazing presentation. Worth every penny.,POSITIVE,1
R000095,M0019,Exceeded my expectations. This is exactly what comfort food should taste like.,POSITIVE,1
R000096,M0020,The quality is consistently great. My go-to order every week.,POSITIVE,1
R000097,M0020,"Decent taste, nothing extraordinary but satisfying.",POSITIVE,1
R000098,M0020,Fantastic taste and quick delivery. Family loved it!,POSITIVE,1
R000099,M0020,Loved every bite. The packaging was also excellent.,POSITIVE,1
R000100,M0020,Amazing food! Delivered hot and fresh. Will definitely order again.,POSITIVE,1
R000101,M0021,Absolutely delicious. Generous portions and great value for money.,POSITIVE,1
R000102,M0021,Missing items from my order. Customer service was unhelpful.,NEGATIVE,-1
R000103,M0021,The Bbq Bacon Burger was okay. Expected a bit more flavor.,POSITIVE,1
R000104,M0021,Portion was too small for the price. Won't order again.,NEGATIVE,-1
R000105,M0021,Absolutely delicious. Generous portions and great value for money.,POSITIVE,1
R000106,M0022,Exceeded my expectations. This is exactly what comfort food should taste like.,POSITIVE,1
R000107,M0022,The Bbq Bacon Burger was cold on arrival. Very frustrating.,NEGATIVE,-1
R000108,M0022,Fantastic taste and quick delivery. Family loved it!,POSITIVE,1
R000109,M0022,The taste was bland and the delivery was late.,NEGATIVE,-1
R000110,M0022,Fantastic taste and quick delivery. Family loved it!,POSITIVE,1
R000111,M0023,The quality is consistently great. My go-to order every week.,POSITIVE,1
R000112,M0023,The quality is consistently great. My go-to order every week.,POSITIVE,1
R000113,M0023,Disappointed with the quality. Not what I expected.,NEGATIVE,-1
R000114,M0023,Amazing food! Delivered hot and fresh. Will definitely order again.,POSITIVE,1
R000115,M0023,Best Mushroom Swiss Burger I've ever had. The flavor was incredible!,POSITIVE,1
R000116,M0024,Missing items from my order. Customer service was unhelpful.,NEGATIVE,-1
R000117,M0024,The Mushroom Swiss Burger was cold on arrival. Very frustrating.,NEGATIVE,-1
R000118,M0024,"Pretty good, I've had better but wouldn't say no to ordering again.",NEGATIVE,-1
R000119,M0024,Fantastic taste and quick delivery. Family loved it!,POSITIVE,1
R000120,M0024,Fantastic taste and quick delivery. Family loved it!,POSITIVE,1
R000121,M0025,The quality is consistently great. My go-to order every week.,POSITIVE,1
R000122,M0025,Super fast delivery and the food was outstanding. 5 stars!,POSITIVE,1
R000123,M0025,Perfect seasoning and amazing presentation. Worth every penny.,POSITIVE,1
R000124,M0025,Good food overall but delivery took longer than expected.,NEGATIVE,-1
R000125,M0025,The Mushroom Swiss Burger was cold on arrival. Very frustrating.,NEGATIVE,-1
R000126,M0026,Perfect seasoning and amazing presentation. Worth every penny.,POSITIVE,1
R000127,M0026,The taste was bland and the delivery was late.,NEGATIVE,-1
R000128,M0026,Absolutely delicious. Generous portions and great value for money.,POSITIVE,1
R000129,M0026,Absolutely delicious. Generous portions and great value for money.,POSITIVE,1
R000130,M0026,Portion was too small for the price. Won't order again.,NEGATIVE,-1
R000131,M0027,"Decent taste, nothing extraordinary but satisfying.",POSITIVE,1
R000132,M0027,Fantastic taste and quick delivery. Family loved it!,POSITIVE,1
R000133,M0027,The taste was bland and the delivery was late.,NEGATIVE,-1
R000134,M0027,"Pretty good, I've had better but wouldn't say no to ordering again.",NEGATIVE,-1
R000135,M0027,Best Spicy Jalapeño Burger I've ever had. The flavor was incredible!,POSITIVE,1
R000136,M0028,Loved every bite. The packaging was also excellent.,POSITIVE,1
R000137,M0028,Absolutely delicious. Generous portions and great value for money.,POSITIVE,1
R000138,M0028,Exceeded my expectations. This is exactly what comfort food should taste like.,POSITIVE,1
R000139,M0028,The Spicy Jalapeño Burger was cold on arrival. Very frustrating.,NEGATIVE,-1
R000140,M0028,Average portion size for the price. Food was warm but not hot.,NEGATIVE,-1
R000141,M0029,Exceeded my expectations. This is exactly what comfort food should taste like.,POSITIVE,1
R000142,M0029,The Veggie Garden Burger was cold on arrival. Very frustrating.,NEGATIVE,-1
R000143,M0029,The taste was bland and the delivery was late.,NEGATIVE,-1
R000144,M0029,Absolutely delicious. Generous portions and great value for money.,POSITIVE,1
R000145,M0029,The taste was bland and the delivery was late.,NEGATIVE,-1
R000146,M0030,Portion was too small for the price. Won't order again.,NEGATIVE,-1
R000147,M0030,Fresh ingredients and perfectly cooked. Highly recommended!,POSITIVE,1
R000148,M0030,Fantastic taste and quick delivery. Family loved it!,POSITIVE,1
R000149,M0030,The taste was bland and the delivery was late.,NEGATIVE,-1
R000150,M0030,Best Veggie Garden Burger I've ever had. The flavor was incredible!,POSITIVE,1
R000151,M0031,Exceeded my expectations. This is exactly what comfort food should taste like.,POSITIVE,1
R000152,M0031,Fantastic taste and quick delivery. Family loved it!,POSITIVE,1
R000153,M0031,Perfect seasoning and amazing presentation. Worth every penny.,POSITIVE,1
R000154,M0031,Absolutely delicious. Generous portions and great value for money.,POSITIVE,1
R000155,M0031,"Decent taste, nothing extraordinary but satisfying.",POSITIVE,1
R000156,M0032,Best Truffle Burger I've ever had. The flavor was incredible!,POSITIVE,1
R000157,M0032,The taste was bland and the delivery was late.,NEGATIVE,-1
R000158,M0032,Fantastic taste and quick delivery. Family loved it!,POSITIVE,1
R000159,M0032,Loved every bite. The packaging was also excellent.,POSITIVE,1
R000160,M0032,Loved every bite. The packaging was also excellent.,POSITIVE,1
R000161,M0033,The quality is consistently great. My go-to order every week.,POSITIVE,1
R000162,M0033,Fantastic taste and quick delivery. Family loved it!,POSITIVE,1
R000163,M0033,"Pretty good, I've had better but wouldn't say no to ordering again.",NEGATIVE,-1
R000164,M0033,Super fast delivery and the food was outstanding. 5 stars!,POSITIVE,1
R000165,M0033,Perfect seasoning and amazing presentation. Worth every penny.,POSITIVE,1
R000166,M0034,Absolutely delicious. Generous portions and great value for money.,POSITIVE,1
R000167,M0034,Perfect seasoning and amazing presentation. Worth every penny.,POSITIVE,1
R000168,M0034,Average portion size for the price. Food was warm but not hot.,NEGATIVE,-1
R000169,M0034,Exceeded my expectations. This is exactly what comfort food should taste like.,POSITIVE,1
R000170,M0034,Food arrived on time but was slightly cold. Taste was fine.,POSITIVE,1
R000171,M0035,The quality is consistently great. My go-to order every week.,POSITIVE,1
R000172,M0035,Fresh ingredients and perfectly cooked. Highly recommended!,POSITIVE,1
R000173,M0035,Perfect seasoning and amazing presentation. Worth every penny.,POSITIVE,1
R000174,M0035,Portion was too small for the price. Won't order again.,NEGATIVE,-1
R000175,M0035,Average portion size for the price. Food was warm but not hot.,NEGATIVE,-1
R000176,M0036,Missing items from my order. Customer service was unhelpful.,NEGATIVE,-1
R000177,M0036,Disappointed with the quality. Not what I expected.,NEGATIVE,-1
R000178,M0036,Perfect seasoning and amazing presentation. Worth every penny.,POSITIVE,1
R000179,M0036,"Decent taste, nothing extraordinary but satisfying.",POSITIVE,1
R000180,M0036,Fantastic taste and quick delivery. Family loved it!,POSITIVE,1
R000181,M0037,Amazing food! Delivered hot and fresh. Will definitely order again.,POSITIVE,1
R000182,M0037,Best Truffle Burger I've ever had. The flavor was incredible!,POSITIVE,1
R000183,M0037,Fresh ingredients and perfectly cooked. Highly recommended!,POSITIVE,1
R000184,M0037,The Truffle Burger was okay. Expected a bit more flavor.,POSITIVE,1
R000185,M0037,Super fast delivery and the food was outstanding. 5 stars!,POSITIVE,1
R000186,M0038,Loved every bite. The packaging was also excellent.,POSITIVE,1
R000187,M0038,"Pretty good, I've had better but wouldn't say no to ordering again.",NEGATIVE,-1
R000188,M0038,Absolutely delicious. Generous portions and great value for money.,POSITIVE,1
R000189,M0038,Fresh ingredients and perfectly cooked. Highly recommended!,POSITIVE,1
R000190,M0038,Super fast delivery and the food was outstanding. 5 stars!,POSITIVE,1
R000191,M0039,Amazing food! Delivered hot and fresh. Will definitely order again.,POSITIVE,1
R000192,M0039,Portion was too small for the price. Won't order again.,NEGATIVE,-1
R000193,M0039,Amazing food! Delivered hot and fresh. Will definitely order again.,POSITIVE,1
R000194,M0039,Average portion size for the price. Food was warm but not hot.,NEGATIVE,-1
R000195,M0039,Disappointed with the quality. Not what I expected.,NEGATIVE,-1
R000196,M0040,Perfect seasoning and amazing presentation. Worth every penny.,POSITIVE,1
R000197,M0040,Best Margherita Pizza I've ever had. The flavor was incredible!,POSITIVE,1
R000198,M0040,Average portion size for the price. Food was warm but not hot.,NEGATIVE,-1
R000199,M0040,Super fast delivery and the food was outstanding. 5 stars!,POSITIVE,1
R000200,M0040,"Decent taste, nothing extraordinary but satisfying.",POSITIVE,1
R000201,M0041,Average portion size for the price. Food was warm but not hot.,NEGATIVE,-1
R000202,M0041,The Margherita Pizza was cold on arrival. Very frustrating.,NEGATIVE,-1
R000203,M0041,Perfect seasoning and amazing presentation. Worth every penny.,POSITIVE,1
R000204,M0041,Amazing food! Delivered hot and fresh. Will definitely order again.,POSITIVE,1
R000205,M0041,The taste was bland and the delivery was late.,NEGATIVE,-1
R000206,M0042,Portion was too small for the price. Won't order again.,NEGATIVE,-1
R000207,M0042,Super fast delivery and the food was outstanding. 5 stars!,POSITIVE,1
R000208,M0042,Exceeded my expectations. This is exactly what comfort food should taste like.,POSITIVE,1
R000209,M0042,Portion was too small for the price. Won't order again.,NEGATIVE,-1
R000210,M0042,Exceeded my expectations. This is exactly what comfort food should taste like.,POSITIVE,1
R000211,M0043,Good food overall but delivery took longer than expected.,NEGATIVE,-1
R000212,M0043,The quality is consistently great. My go-to order every week.,POSITIVE,1
R000213,M0043,Good food overall but delivery took longer than expected.,NEGATIVE,-1
R000214,M0043,Food arrived on time but was slightly cold. Taste was fine.,POSITIVE,1
R000215,M0043,Fresh ingredients and perfectly cooked. Highly recommended!,POSITIVE,1
R000216,M0044,Super fast delivery and the food was outstanding. 5 stars!,POSITIVE,1
R000217,M0044,The Pepperoni Pizza was okay. Expected a bit more flavor.,POSITIVE,1
R000218,M0044,Fresh ingredients and perfectly cooked. Highly recommended!,POSITIVE,1
R000219,M0044,Disappointed with the quality. Not what I expected.,NEGATIVE,-1
R000220,M0044,Fresh ingredients and perfectly cooked. Highly recommended!,POSITIVE,1
R000221,M0045,The Pepperoni Pizza was cold on arrival. Very frustrating.,NEGATIVE,-1
R000222,M0045,The quality is consistently great. My go-to order every week.,POSITIVE,1
R000223,M0045,The quality is consistently great. My go-to order every week.,POSITIVE,1
R000224,M0045,The Pepperoni Pizza was okay. Expected a bit more flavor.,POSITIVE,1
R000225,M0045,Best Pepperoni Pizza I've ever had. The flavor was incredible!,POSITIVE,1
R000226,M0046,Loved every bite. The packaging was also excellent.,POSITIVE,1
R000227,M0046,Loved every bite. The packaging was also excellent.,POSITIVE,1
R000228,M0046,Perfect seasoning and amazing presentation. Worth every penny.,POSITIVE,1
R000229,M0046,Super fast delivery and the food was outstanding. 5 stars!,POSITIVE,1
R000230,M0046,Best Pepperoni Pizza I've ever had. The flavor was incredible!,POSITIVE,1
R000231,M0047,Perfect seasoning and amazing presentation. Worth every penny.,POSITIVE,1
R000232,M0047,Loved every bite. The packaging was also excellent.,POSITIVE,1
R000233,M0047,Portion was too small for the price. Won't order again.,NEGATIVE,-1
R000234,M0047,Fantastic taste and quick delivery. Family loved it!,POSITIVE,1
R000235,M0047,Fantastic taste and quick delivery. Family loved it!,POSITIVE,1
R000236,M0048,Exceeded my expectations. This is exactly what comfort food should taste like.,POSITIVE,1
R000237,M0048,"Decent taste, nothing extraordinary but satisfying.",POSITIVE,1
R000238,M0048,Fantastic taste and quick delivery. Family loved it!,POSITIVE,1
R000239,M0048,Super fast delivery and the food was outstanding. 5 stars!,POSITIVE,1
R000240,M0048,The quality is consistently great. My go-to order every week.,POSITIVE,1
R000241,M0049,Loved every bite. The packaging was also excellent.,POSITIVE,1
R000242,M0049,Missing items from my order. Customer service was unhelpful.,NEGATIVE,-1
R000243,M0049,Perfect seasoning and amazing presentation. Worth every penny.,POSITIVE,1
R000244,M0049,Absolutely delicious. Generous portions and great value for money.,POSITIVE,1
R000245,M0049,Exceeded my expectations. This is exactly what comfort food should taste like.,POSITIVE,1
R000246,M0050,The Pepperoni Pizza was cold on arrival. Very frustrating.,NEGATIVE,-1
R000247,M0050,Fresh ingredients and perfectly cooked. Highly recommended!,POSITIVE,1
R000248,M0050,Fantastic taste and quick delivery. Family loved it!,POSITIVE,1
R000249,M0050,"Pretty good, I've had better but wouldn't say no to ordering again.",NEGATIVE,-1
R000250,M0050,Loved every bite. The packaging was also excellent.,POSITIVE,1
R000251,M0051,Exceeded my expectations. This is exactly what comfort food should taste like.,POSITIVE,1
R000252,M0051,The Pepperoni Pizza was cold on arrival. Very frustrating.,NEGATIVE,-1
R000253,M0051,The quality is consistently great. My go-to order every week.,POSITIVE,1
R000254,M0051,Fresh ingredients and perfectly cooked. Highly recommended!,POSITIVE,1
R000255,M0051,Perfect seasoning and amazing presentation. Worth every penny.,POSITIVE,1
R000256,M0052,The Bbq Chicken Pizza was okay. Expected a bit more flavor.,POSITIVE,1
R000257,M0052,Exceeded my expectations. This is exactly what comfort food should taste like.,POSITIVE,1
R000258,M0052,The quality is consistently great. My go-to order every week.,POSITIVE,1
R000259,M0052,Average portion size for the price. Food was warm but not hot.,NEGATIVE,-1
R000260,M0052,Super fast delivery and the food was outstanding. 5 stars!,POSITIVE,1
R000261,M0053,Packaging was damaged and food quality was below average.,NEGATIVE,-1
R000262,M0053,Loved every bite. The packaging was also excellent.,POSITIVE,1
R000263,M0053,Absolutely delicious. Generous portions and great value for money.,POSITIVE,1
R000264,M0053,Disappointed with the quality. Not what I expected.,NEGATIVE,-1
R000265,M0053,Amazing food! Delivered hot and fresh. Will definitely order again.,POSITIVE,1
R000266,M0054,Disappointed with the quality. Not what I expected.,NEGATIVE,-1
R000267,M0054,Disappointed with the quality. Not what I expected.,NEGATIVE,-1
R000268,M0054,Fresh ingredients and perfectly cooked. Highly recommended!,POSITIVE,1
R000269,M0054,Amazing food! Delivered hot and fresh. Will definitely order again.,POSITIVE,1
R000270,M0054,The Bbq Chicken Pizza was cold on arrival. Very frustrating.,NEGATIVE,-1
R000271,M0055,Packaging was damaged and food quality was below average.,NEGATIVE,-1
R000272,M0055,The Bbq Chicken Pizza was okay. Expected a bit more flavor.,POSITIVE,1
R000273,M0055,Loved every bite. The packaging was also excellent.,POSITIVE,1
R000274,M0055,Amazing food! Delivered hot and fresh. Will definitely order again.,POSITIVE,1
R000275,M0055,Fantastic taste and quick delivery. Family loved it!,POSITIVE,1
R000276,M0056,Best Bbq Chicken Pizza I've ever had. The flavor was incredible!,POSITIVE,1
R000277,M0056,The quality is consistently great. My go-to order every week.,POSITIVE,1
R000278,M0056,The Bbq Chicken Pizza was okay. Expected a bit more flavor.,POSITIVE,1
R000279,M0056,Food arrived on time but was slightly cold. Taste was fine.,POSITIVE,1
R000280,M0056,Fresh ingredients and perfectly cooked. Highly recommended!,POSITIVE,1
R000281,M0057,Best Bbq Chicken Pizza I've ever had. The flavor was incredible!,POSITIVE,1
R000282,M0057,Absolutely delicious. Generous portions and great value for money.,POSITIVE,1
R000283,M0057,Best Bbq Chicken Pizza I've ever had. The flavor was incredible!,POSITIVE,1
R000284,M0057,Amazing food! Delivered hot and fresh. Will definitely order again.,POSITIVE,1
R000285,M0057,Disappointed with the quality. Not what I expected.,NEGATIVE,-1
R000286,M0058,Missing items from my order. Customer service was unhelpful.,NEGATIVE,-1
R000287,M0058,The quality is consistently great. My go-to order every week.,POSITIVE,1
R000288,M0058,Exceeded my expectations. This is exactly what comfort food should taste like.,POSITIVE,1
R000289,M0058,Best Bbq Chicken Pizza I've ever had. The flavor was incredible!,POSITIVE,1
R000290,M0058,Loved every bite. The packaging was also excellent.,POSITIVE,1
R000291,M0059,Fresh ingredients and perfectly cooked. Highly recommended!,POSITIVE,1
R000292,M0059,The taste was bland and the delivery was late.,NEGATIVE,-1
R000293,M0059,The taste was bland and the delivery was late.,NEGATIVE,-1
R000294,M0059,Portion was too small for the price. Won't order again.,NEGATIVE,-1
R000295,M0059,Disappointed with the quality. Not what I expected.,NEGATIVE,-1
R000296,M0060,Disappointed with the quality. Not what I expected.,NEGATIVE,-1
R000297,M0060,Portion was too small for the price. Won't order again.,NEGATIVE,-1
R000298,M0060,The Four Cheese Pizza was cold on arrival. Very frustrating.,NEGATIVE,-1
R000299,M0060,Amazing food! Delivered hot and fresh. Will definitely order again.,POSITIVE,1
R000300,M0060,Missing items from my order. Customer service was unhelpful.,NEGATIVE,-1
R000301,M0061,Good food overall but delivery took longer than expected.,NEGATIVE,-1
R000302,M0061,Super fast delivery and the food was outstanding. 5 stars!,POSITIVE,1
R000303,M0061,Packaging was damaged and food quality was below average.,NEGATIVE,-1
R000304,M0061,Food arrived on time but was slightly cold. Taste was fine.,POSITIVE,1
R000305,M0061,Absolutely delicious. Generous portions and great value for money.,POSITIVE,1
R000306,M0062,Exceeded my expectations. This is exactly what comfort food should taste like.,POSITIVE,1
R000307,M0062,Absolutely delicious. Generous portions and great value for money.,POSITIVE,1
R000308,M0062,Disappointed with the quality. Not what I expected.,NEGATIVE,-1
R000309,M0062,Amazing food! Delivered hot and fresh. Will definitely order again.,POSITIVE,1
R000310,M0062,The quality is consistently great. My go-to order every week.,POSITIVE,1
R000311,M0063,The Four Cheese Pizza was okay. Expected a bit more flavor.,POSITIVE,1
R000312,M0063,Good food overall but delivery took longer than expected.,NEGATIVE,-1
R000313,M0063,Amazing food! Delivered hot and fresh. Will definitely order again.,POSITIVE,1
R000314,M0063,Food arrived on time but was slightly cold. Taste was fine.,POSITIVE,1
R000315,M0063,Loved every bite. The packaging was also excellent.,POSITIVE,1
R000316,M0064,Super fast delivery and the food was outstanding. 5 stars!,POSITIVE,1
R000317,M0064,Best Meat Lovers Pizza I've ever had. The flavor was incredible!,POSITIVE,1
R000318,M0064,Average portion size for the price. Food was warm but not hot.,NEGATIVE,-1
R000319,M0064,Absolutely delicious. Generous portions and great value for money.,POSITIVE,1
R000320,M0064,The quality is consistently great. My go-to order every week.,POSITIVE,1
R000321,M0065,Fantastic taste and quick delivery. Family loved it!,POSITIVE,1
R000322,M0065,The Meat Lovers Pizza was okay. Expected a bit more flavor.,POSITIVE,1
R000323,M0065,Fresh ingredients and perfectly cooked. Highly recommended!,POSITIVE,1
R000324,M0065,The Meat Lovers Pizza was okay. Expected a bit more flavor.,POSITIVE,1
R000325,M0065,The taste was bland and the delivery was late.,NEGATIVE,-1
R000326,M0066,Food arrived on time but was slightly cold. Taste was fine.,POSITIVE,1
R000327,M0066,Food arrived on time but was slightly cold. Taste was fine.,POSITIVE,1
R000328,M0066,Amazing food! Delivered hot and fresh. Will definitely order again.,POSITIVE,1
R000329,M0066,Fantastic taste and quick delivery. Family loved it!,POSITIVE,1
R000330,M0066,Food arrived on time but was slightly cold. Taste was fine.,POSITIVE,1
R000331,M0067,Best Meat Lovers Pizza I've ever had. The flavor was incredible!,POSITIVE,1
R000332,M0067,"Decent taste, nothing extraordinary but satisfying.",POSITIVE,1
R000333,M0067,Best Meat Lovers Pizza I've ever had. The flavor was incredible!,POSITIVE,1
R000334,M0067,Fresh ingredients and perfectly cooked. Highly recommended!,POSITIVE,1
R000335,M0067,Fantastic taste and quick delivery. Family loved it!,POSITIVE,1
R000336,M0068,Super fast delivery and the food was outstanding. 5 stars!,POSITIVE,1
R000337,M0068,Perfect seasoning and amazing presentation. Worth every penny.,POSITIVE,1
R000338,M0068,Packaging was damaged and food quality was below average.,NEGATIVE,-1
R000339,M0068,"Decent taste, nothing extraordinary but satisfying.",POSITIVE,1
R000340,M0068,Loved every bite. The packaging was also excellent.,POSITIVE,1
R000341,M0069,The quality is consistently great. My go-to order every week.,POSITIVE,1
R000342,M0069,Best Meat Lovers Pizza I've ever had. The flavor was incredible!,POSITIVE,1
R000343,M0069,Loved every bite. The packaging was also excellent.,POSITIVE,1
R000344,M0069,Exceeded my expectations. This is exactly what comfort food should taste like.,POSITIVE,1
R000345,M0069,Good food overall but delivery took longer than expected.,NEGATIVE,-1
R000346,M0070,The Meat Lovers Pizza was okay. Expected a bit more flavor.,POSITIVE,1
R000347,M0070,Absolutely delicious. Generous portions and great value for money.,POSITIVE,1
R000348,M0070,Perfect seasoning and amazing presentation. Worth every penny.,POSITIVE,1
R000349,M0070,Fresh ingredients and perfectly cooked. Highly recommended!,POSITIVE,1
