review_id,meal_id,meal_name,restaurant,rating,review_text,sentiment_label,review_date,helpful_votes
R000113,M0023,Mushroom Swiss Burger,Flavor Street,2.1,Disappointed with the quality. Not what I expected.,negative,2025-11-21,15
R000114,M0023,Mushroom Swiss Burger,Flavor Street,4.8,Amazing food! Delivered hot and fresh. Will definitely order again.,positive,2025-05-31,48
R000115,M0023,Mushroom Swiss Burger,Flavor Street,4.6,Best Mushroom Swiss Burger I've ever had. The flavor was incredible!,positive,2026-02-09,40
R000116,M0024,Mushroom Swiss Burger,The Grill House,1.3,Missing items from my order. Customer service was unhelpful.,negative,2025-11-03,6
R000117,M0024,Mushroom Swiss Burger,The Grill House,2.3,The Mushroom Swiss Burger was cold on arrival. Very frustrating.,negative,2025-05-13,37
R000118,M0024,Mushroom Swiss Burger,The Grill House,3.1,"Pretty good, I've had better but wouldn't say no to ordering again.",neutral,2025-06-16,40
R000119,M0024,Mushroom Swiss Burger,The Grill House,4.5,Fantastic taste and quick delivery. Family loved it!,positive,2025-09-30,18
R000120,M0024,Mushroom Swiss Burger,The Grill House,4.8,Fantastic taste and quick delivery. Family loved it!,positive,2025-06-07,6
R000121,M0025,Mushroom Swiss Burger,Burger Factory,4.3,The quality is consistently great. My go-to order every week.,positive,2025-11-10,21
R000122,M0025,Mushroom Swiss Burger,Burger Factory,4.7,Super fast delivery and the food was outstanding. 5 stars!,positive,2026-01-19,28
R000123,M0025,Mushroom Swiss Burger,Burger Factory,4.1,Perfect seasoning and amazing presentation. Worth every penny.,positive,2025-07-27,2
R000124,M0025,Mushroom Swiss Burger,Burger Factory,3.5,Good food overall but delivery took longer than expected.,neutral,2026-01-17,18
R000125,M0025,Mushroom Swiss Burger,Burger Factory,1.7,The Mushroom Swiss Burger was cold on arrival. Very frustrating.,negative,2025-08-05,2
R000126,M0026,Spicy Jalapeño Burger,Fresh & Fit,4.3,Perfect seasoning and amazing presentation. Worth every penny.,positive,2026-01-03,25
R000127,M0026,Spicy Jalapeño Burger,Fresh & Fit,1.1,The taste was bland and the delivery was late.,negative,2025-10-06,0
R000128,M0026,Spicy Jalapeño Burger,Fresh & Fit,4.5,Absolutely delicious. Generous portions and great value for money.,positive,2025-06-19,13
R000129,M0026,Spicy Jalapeño Burger,Fresh & Fit,4.7,Absolutely delicious. Generous portions and great value for money.,positive,2026-03-13,4
R000130,M0026,Spicy Jalapeño Burger,Fresh & Fit,1.6,Portion was too small for the price. Won't order again.,negative,2025-11-10,3
R000131,M0027,Spicy Jalapeño Burger,Crave It,2.7,"Decent taste, nothing extraordinary but satisfying.",neutral,2026-03-08,9
R000132,M0027,Spicy Jalapeño Burger,Crave It,4.6,Fantastic taste and quick delivery. Family loved it!,positive,2025-07-26,23
R000133,M0027,Spicy Jalapeño Burger,Crave It,1.5,The taste was bland and the delivery was late.,negative,2025-07-10,28
R000134,M0027,Spicy Jalapeño Burger,Crave It,2.5,"Pretty good, I've had better but wouldn't say no to ordering again.",neutral,2025-06-27,2
R000135,M0027,Spicy Jalapeño Burger,Crave It,4.1,Best Spicy Jalapeño Burger I've ever had. The flavor was incredible!,positive,2025-08-13,10
R000136,M0028,Spicy Jalapeño Burger,Desert Rose Kitchen,4.1,Loved every bite. The packaging was also excellent.,positive,2025-06-03,33
R000137,M0028,Spicy Jalapeño Burger,Desert Rose Kitchen,4.7,Absolutely delicious. Generous portions and great value for money.,positive,2026-02-11,6
R000138,M0028,Spicy Jalapeño Burger,Desert Rose Kitchen,4.1,Exceeded my expectations. This is exactly what comfort food should taste like.,positive,2026-03-24,24
R000139,M0028,Spicy Jalapeño Burger,Desert Rose Kitchen,1.8,The Spicy Jalapeño Burger was cold on arrival. Very frustrating.,negative,2025-08-29,37
R000140,M0028,Spicy Jalapeño Burger,Desert Rose Kitchen,2.8,Average portion size for the price. Food was warm but not hot.,neutral,2026-02-17,25
R000141,M0029,Veggie Garden Burger,Mama's Kitchen,4.9,Exceeded my expectations. This is exactly what comfort food should taste like.,positive,2025-10-18,39
R000142,M0029,Veggie Garden Burger,Mama's Kitchen,1.6,The Veggie Garden Burger was cold on arrival. Very frustrating.,negative,2025-11-11,20
R000143,M0029,Veggie Garden Burger,Mama's Kitchen,2.4,The taste was bland and the delivery was late.,negative,2026-01-01,29
R000144,M0029,Veggie Garden Burger,Mama's Kitchen,4.4,Absolutely delicious. Generous portions and great value for money.,positive,2026-02-11,10
R000145,M0029,Veggie Garden Burger,Mama's Kitchen,1.6,The taste was bland and the delivery was late.,negative,2026-03-04,10
R000146,M0030,Veggie Garden Burger,Pizza Palace,1.5,Portion was too small for the price. Won't order again.,negative,2025-07-15,15
R000147,M0030,Veggie Garden Burger,Pizza Palace,4.6,Fresh ingredients and perfectly cooked. Highly recommended!,positive,2026-01-24,50
R000148,M0030,Veggie Garden Burger,Pizza Palace,4.2,Fantastic taste and quick delivery. Family loved it!,positive,2025-11-18,9
R000149,M0030,Veggie Garden Burger,Pizza Palace,2.0,The taste was bland and the delivery was late.,negative,2026-04-16,19
R000150,M0030,Veggie Garden Burger,Pizza Palace,4.2,Best Veggie Garden Burger I've ever had. The flavor was incredible!,positive,2025-11-21,33
R000151,M0031,Veggie Garden Burger,Street Eats,4.1,Exceeded my expectations. This is exactly what comfort food should taste like.,positive,2026-02-07,26
R000152,M0031,Veggie Garden Burger,Street Eats,4.4,Fantastic taste and quick delivery. Family loved it!,positive,2026-04-21,4
R000153,M0031,Veggie Garden Burger,Street Eats,4.5,Perfect seasoning and amazing presentation. Worth every penny.,positive,2025-09-16,10
R000154,M0031,Veggie Garden Burger,Street Eats,4.2,Absolutely delicious. Generous portions and great value for money.,positive,2026-04-21,48
R000155,M0031,Veggie Garden Burger,Street Eats,2.6,"Decent taste, nothing extraordinary but satisfying.",neutral,2026-03-30,17
R000156,M0032,Truffle Burger,Street Eats,4.8,Best Truffle Burger I've ever had. The flavor was incredible!,positive,2025-10-25,45
R000157,M0032,Truffle Burger,Street Eats,1.8,The taste was bland and the delivery was late.,negative,2025-10-22,4
R000158,M0032,Truffle Burger,Street Eats,4.2,Fantastic taste and quick delivery. Family loved it!,positive,2025-12-03,21
R000159,M0032,Truffle Burger,Street Eats,4.2,Loved every bite. The packaging was also excellent.,positive,2025-05-07,23
R000160,M0032,Truffle Burger,Street Eats,4.5,Loved every bite. The packaging was also excellent.,positive,2025-08-05,1
R000161,M0033,Truffle Burger,The Grill House,4.2,The quality is consistently great. My go-to order every week.,positive,2025-10-22,44
R000162,M0033,Truffle Burger,The Grill House,4.2,Fantastic taste and quick delivery. Family loved it!,positive,2025-07-05,47
R000163,M0033,Truffle Burger,The Grill House,3.7,"Pretty good, I've had better but wouldn't say no to ordering again.",neutral,2025-11-12,5
R000164,M0033,Truffle Burger,The Grill House,5.0,Super fast delivery and the food was outstanding. 5 stars!,positive,2025-05-05,11
R000165,M0033,Truffle Burger,The Grill House,4.9,Perfect seasoning and amazing presentation. Worth every penny.,positive,2025-04-30,9
R000166,M0034,Truffle Burger,El Classico,4.8,Absolutely delicious. Generous portions and great value for money.,positive,2025-05-26,43
R000167,M0034,Truffle Burger,El Classico,4.5,Perfect seasoning and amazing presentation. Worth every penny.,positive,2025-11-12,42
R000168,M0034,Truffle Burger,El Classico,3.7,Average portion size for the price. Food was warm but not hot.,neutral,2026-01-12,7
R000169,M0034,Truffle Burger,El Classico,4.3,Exceeded my expectations. This is exactly what comfort food should taste like.,positive,2025-07-08,3
R000170,M0034,Truffle Burger,El Classico,2.5,Food arrived on time but was slightly cold. Taste was fine.,neutral,2025-04-30,42
R000171,M0035,Truffle Burger,Urban Bites,4.1,The quality is consistently great. My go-to order every week.,positive,2025-12-27,34
R000172,M0035,Truffle Burger,Urban Bites,4.9,Fresh ingredients and perfectly cooked. Highly recommended!,positive,2026-03-02,29
R000173,M0035,Truffle Burger,Urban Bites,4.5,Perfect seasoning and amazing presentation. Worth every penny.,positive,2026-04-03,2
R000174,M0035,Truffle Burger,Urban Bites,2.2,Portion was too small for the price. Won't order again.,negative,2026-03-04,21
R000175,M0035,Truffle Burger,Urban Bites,3.6,Average portion size for the price. Food was warm but not hot.,neutral,2025-05-29,0
R000176,M0036,Truffle Burger,Burger Factory,2.1,Missing items from my order. Customer service was unhelpful.,negative,2025-07-01,25
R000177,M0036,Truffle Burger,Burger Factory,1.7,Disappointed with the quality. Not what I expected.,negative,2026-04-25,22
R000178,M0036,Truffle Burger,Burger Factory,4.5,Perfect seasoning and amazing presentation. Worth every penny.,positive,2025-06-30,28
R000179,M0036,Truffle Burger,Burger Factory,2.5,"Decent taste, nothing extraordinary but satisfying.",neutral,2025-07-19,19
R000180,M0036,Truffle Burger,Burger Factory,4.9,Fantastic taste and quick delivery. Family loved it!,positive,2025-05-01,5
R000181,M0037,Truffle Burger,Daily Bites,4.6,Amazing food! Delivered hot and fresh. Will definitely order again.,positive,2025-11-17,17
R000182,M0037,Truffle Burger,Daily Bites,4.1,Best Truffle Burger I've ever had. The flavor was incredible!,positive,2025-11-06,14
R000183,M0037,Truffle Burger,Daily Bites,4.4,Fresh ingredients and perfectly cooked. Highly recommended!,positive,2025-06-18,44
R000184,M0037,Truffle Burger,Daily Bites,3.6,The Truffle Burger was okay. Expected a bit more flavor.,neutral,2025-10-25,21
R000185,M0037,Truffle Burger,Daily Bites,4.9,Super fast delivery and the food was outstanding. 5 stars!,positive,2025-05-01,32
R000186,M0038,Truffle Burger,Mama's Kitchen,4.9,Loved every bite. The packaging was also excellent.,positive,2025-05-09,48
R000187,M0038,Truffle Burger,Mama's Kitchen,3.0,"Pretty good, I've had better but wouldn't say no to ordering again.",neutral,2026-02-25,7
R000188,M0038,Truffle Burger,Mama's Kitchen,4.7,Absolutely delicious. Generous portions and great value for money.,positive,2026-03-17,41
R000189,M0038,Truffle Burger,Mama's Kitchen,4.3,Fresh ingredients and perfectly cooked. Highly recommended!,positive,2025-07-21,10
R000190,M0038,Truffle Burger,Mama's Kitchen,4.5,Super fast delivery and the food was outstanding. 5 stars!,positive,2025-12-18,37
R000191,M0039,Truffle Burger,Crave It,4.9,Amazing food! Delivered hot and fresh. Will definitely order again.,positive,2025-07-21,21
R000192,M0039,Truffle Burger,Crave It,1.0,Portion was too small for the price. Won't order again.,negative,2025-12-26,2
R000193,M0039,Truffle Burger,Crave It,4.3,Amazing food! Delivered hot and fresh. Will definitely order again.,positive,2025-07-01,38
R000194,M0039,Truffle Burger,Crave It,2.8,Average portion size for the price. Food was warm but not hot.,neutral,2026-01-03,18
R000195,M0039,Truffle Burger,Crave It,1.4,Disappointed with the quality. Not what I expected.,negative,2025-11-06,20
R000196,M0040,Margherita Pizza,Mediterranean Nights,4.1,Perfect seasoning and amazing presentation. Worth every penny.,positive,2025-06-13,8
R000197,M0040,Margherita Pizza,Mediterranean Nights,4.5,Best Margherita Pizza I've ever had. The flavor was incredible!,positive,2026-01-16,11
R000198,M0040,Margherita Pizza,Mediterranean Nights,2.7,Average portion size for the price. Food was warm but not hot.,neutral,2026-03-26,1
R000199,M0040,Margherita Pizza,Mediterranean Nights,4.9,Super fast delivery and the food was outstanding. 5 stars!,positive,2025-07-09,12
R000200,M0040,Margherita Pizza,Mediterranean Nights,2.6,"Decent taste, nothing extraordinary but satisfying.",neutral,2025-05-04,38
R000201,M0041,Margherita Pizza,Mama's Kitchen,2.7,Average portion size for the price. Food was warm but not hot.,neutral,2025-12-04,39
R000202,M0041,Margherita Pizza,Mama's Kitchen,2.2,The Margherita Pizza was cold on arrival. Very frustrating.,negative,2025-06-17,31
R000203,M0041,Margherita Pizza,Mama's Kitchen,4.3,Perfect seasoning and amazing presentation. Worth every penny.,positive,2026-01-23,44
R000204,M0041,Margherita Pizza,Mama's Kitchen,4.9,Amazing food! Delivered hot and fresh. Will definitely order again.,positive,2026-01-10,29
R000205,M0041,Margherita Pizza,Mama's Kitchen,2.2,The taste was bland and the delivery was late.,negative,2025-09-26,33
R000206,M0042,Margherita Pizza,Pizza Palace,1.3,Portion was too small for the price. Won't order again.,negative,2026-03-21,11
R000207,M0042,Margherita Pizza,Pizza Palace,4.0,Super fast delivery and the food was outstanding. 5 stars!,positive,2026-01-01,17
R000208,M0042,Margherita Pizza,Pizza Palace,4.3,Exceeded my expectations. This is exactly what comfort food should taste like.,positive,2025-11-01,5
R000209,M0042,Margherita Pizza,Pizza Palace,1.4,Portion was too small for the price. Won't order again.,negative,2026-03-06,5
R000210,M0042,Margherita Pizza,Pizza Palace,4.1,Exceeded my expectations. This is exactly what comfort food should taste like.,positive,2025-06-28,0
R000211,M0043,Margherita Pizza,Urban Bites,3.3,Good food overall but delivery took longer than expected.,neutral,2025-10-31,15
R000212,M0043,Margherita Pizza,Urban Bites,4.6,The quality is consistently great. My go-to order every week.,positive,2025-12-19,18
R000213,M0043,Margherita Pizza,Urban Bites,3.1,Good food overall but delivery took longer than expected.,neutral,2025-05-10,2
